Date,Mkt_RF,SMB,HML,RMW,CMA,RF,AAPL_RET
2021-12-07,2.22,-0.17,-1.78,-1.44,-0.47,0.0,3.544635145404862
2021-12-08,0.46,0.35,-0.85,-0.97,0.19,0.0,2.2783140224814424
2021-12-09,-1.04,-1.05,1.55,1.44,1.0,0.0,-0.2970220751466135
2021-12-10,0.71,-0.87,0.52,1.38,0.77,0.0,2.801338093317063
2021-12-13,-1.04,-0.29,-0.99,0.31,-0.3,0.0,-2.0674259625670044
2021-12-14,-0.76,-0.35,1.65,0.41,0.18,0.0,-0.8023257980623089
2021-12-15,1.62,0.01,-1.91,0.05,-0.35,0.0,2.85092954749091
2021-12-16,-1.19,-0.85,2.8,0.62,0.67,0.0,-3.9264030546131035
2021-12-17,-0.66,1.47,-2.34,-1.7,-0.37,0.0,-0.6501620630078642
2021-12-20,-1.26,-0.21,-0.41,0.03,0.17,0.0,-0.8122192797068606
2021-12-21,2.06,0.66,0.19,-1.09,-0.24,0.0,1.9087131669351054
2021-12-22,0.97,0.18,-0.35,0.34,0.05,0.0,1.531870858875095
2021-12-23,0.72,0.28,-0.49,-0.37,-0.41,0.0,0.36438302628347685
2021-12-27,1.23,-0.13,0.31,0.98,0.45,0.0,2.2974699108515573
2021-12-28,-0.26,-0.41,0.82,0.84,0.23,0.0,-0.5767064151616874
2021-12-29,0.07,-0.02,0.17,0.71,0.0,0.0,0.05018364430668942
2021-12-30,-0.17,0.07,-0.41,-0.83,-0.44,0.0,-0.6578148987181343
2021-12-31,-0.31,0.17,0.52,0.35,0.45,0.0,-0.35351300872569213
2022-01-03,0.72,0.44,0.77,-1.17,0.53,0.0,2.500397586153702
2022-01-04,-0.27,-0.06,3.64,0.64,1.56,0.0,-1.269160803519409
2022-01-05,-2.26,-0.93,2.58,1.41,1.29,0.0,-2.6599822180755406
2022-01-06,0.0,0.38,1.76,-0.56,0.01,0.0,-1.6693345162444029
2022-01-07,-0.49,-0.96,2.02,-0.13,0.85,0.0,0.09881901306822982
2022-01-10,-0.14,-0.31,-0.26,-0.06,-0.36,0.0,0.011629206552998816
2022-01-11,1.08,-0.2,-0.27,-1.24,0.35,0.0,1.6783865899324901
2022-01-12,0.13,-0.85,0.52,0.76,0.29,0.0,0.257023090484898
2022-01-13,-1.55,0.88,2.39,1.18,1.04,0.0,-1.902814187142654
2022-01-14,0.08,0.05,0.55,-0.85,0.52,0.0,0.511082232656701
2022-01-18,-2.06,-0.9,1.38,0.79,0.98,0.0,-1.889432867406693
2022-01-19,-1.02,-0.36,-0.67,0.25,0.09,0.0,-2.102444812189719
2022-01-20,-1.15,-0.84,-0.23,-0.31,0.09,0.0,-1.0347233237972708
2022-01-21,-2.09,0.39,0.47,1.03,0.54,0.0,-1.2765384286181014
2022-01-24,0.53,1.75,-0.25,-0.06,-0.67,0.0,-0.48640154358080556
2022-01-25,-1.42,-0.18,2.8,-0.79,1.62,0.0,-1.1384903020405068
2022-01-26,-0.29,-1.06,0.1,0.42,-0.02,0.0,-0.05632110466268214
2022-01-27,-0.76,-1.46,0.83,1.05,0.92,0.0,-0.2943315543112113
2022-01-28,2.46,-0.62,-2.08,0.16,0.16,0.0,6.977765459533103
2022-01-31,2.32,0.7,-2.87,-1.82,-1.67,0.0,2.612593709077804
2022-02-01,0.87,0.12,0.65,-1.1,0.33,0.0,-0.0972561472290856
2022-02-02,0.51,-1.58,0.7,1.5,0.5,0.0,0.7044070427308702
2022-02-03,-2.48,0.46,2.19,0.43,1.36,0.0,-1.6719782925976645
2022-02-04,0.89,-0.3,-0.6,-1.73,-1.2,0.0,-0.16793859946188094
2022-02-07,-0.24,0.67,0.2,-0.7,-0.01,0.0,-0.4234481487637942
2022-02-08,1.02,0.73,-0.29,0.93,-0.42,0.0,1.8466794290616928
2022-02-09,1.6,0.02,-1.96,-1.1,-0.26,0.0,0.829375495555551
2022-02-10,-1.69,0.02,1.23,-0.56,0.27,0.0,-2.359887139865624
2022-02-11,-1.91,0.92,2.13,-0.2,1.43,0.0,-2.021846858095855
2022-02-14,-0.35,0.08,-0.62,0.69,-0.18,0.0,0.14232720870135385
2022-02-15,1.85,1.02,-1.4,-0.68,-0.81,0.0,2.3152567308998506
2022-02-16,-0.02,0.04,0.32,0.61,0.42,0.0,-0.1389088302194641
2022-02-17,-2.29,-0.05,1.15,0.88,1.47,0.0,-2.1269112204508556
2022-02-18,-0.85,0.12,0.95,1.07,0.44,0.0,-0.9355604735935996
2022-02-22,-1.17,-0.36,0.09,-0.04,0.16,0.0,-1.7812472277244917
2022-02-23,-1.95,0.06,1.25,0.02,1.07,0.0,-2.5864221037688817
2022-02-24,1.87,0.69,-3.88,-1.79,-1.8,0.0,1.6680320053549913
2022-02-25,2.24,-0.14,1.19,0.36,-0.19,0.0,1.296550866171109
2022-02-28,0.03,0.39,-0.46,-0.8,0.25,0.0,0.163766220626127
2022-03-01,-1.55,-0.28,-0.85,-0.41,0.53,0.0,-1.1627961812191168
2022-03-02,1.82,0.63,1.3,0.52,0.47,0.0,2.058828581407468
2022-03-03,-0.86,-0.22,1.51,1.25,1.25,0.0,-0.19810173155517807
2022-03-04,-1.09,-0.52,0.72,0.37,1.23,0.0,-1.8408306002451025
2022-03-07,-3.14,0.73,0.89,-0.69,1.35,0.0,-2.3717956549260233
2022-03-08,-0.53,1.0,0.3,-1.12,-0.24,0.0,-1.167591421701497
2022-03-09,2.79,0.01,-2.17,-0.41,-1.58,0.0,3.499751320651545
2022-03-10,-0.47,0.3,1.18,-0.32,0.34,0.0,-2.7186117297868906
2022-03-11,-1.48,-0.12,1.76,0.97,0.64,0.0,-2.3908820274072817
2022-03-14,-1.04,-0.84,1.79,2.19,0.1,0.0,-2.656241444726082
2022-03-15,2.15,-0.49,-2.37,0.77,-0.99,0.0,2.9677348377973756
2022-03-16,2.6,0.44,-1.85,-1.16,-1.58,0.0,2.901539065892189
2022-03-17,1.42,0.16,-1.06,-1.61,-0.2,0.0,0.6454088418806014
2022-03-18,1.32,-0.19,-1.87,-0.55,-0.84,0.0,2.0919085835823026
2022-03-21,-0.17,-0.94,1.64,-0.19,1.55,0.0,0.853737653436637
2022-03-22,1.3,-0.22,-1.19,-0.82,-1.03,0.0,2.0800735269190573
2022-03-23,-1.25,-0.62,0.4,-0.51,1.52,0.0,0.8233482113864321
2022-03-24,1.42,-0.32,-0.82,-0.48,-0.13,0.0,2.2678047611117913
2022-03-25,0.28,-0.3,2.19,0.2,1.37,0.0,0.37341965639630104
2022-03-28,0.73,-0.87,-1.72,0.5,-1.24,0.0,0.5036645504602699
2022-03-29,1.43,1.19,-1.92,-0.32,-0.99,0.0,1.9134350011321022
2022-03-30,-0.82,-1.12,0.4,0.37,0.92,0.0,-0.6649679799290431
2022-03-31,-1.54,0.62,-0.45,-0.22,0.4,0.0,-1.7775580633487165
2022-04-01,0.39,0.58,-0.61,-0.92,0.05,0.0,-0.1718261791565978
2022-04-04,0.93,-0.55,-1.86,-0.77,-0.7,0.0,2.3693322946752415
2022-04-05,-1.53,-0.72,0.82,0.69,0.15,0.0,-1.8941880658462806
2022-04-06,-1.23,-0.3,1.08,0.23,0.88,0.0,-1.8450724836877819
